NIS, CHI_2 
1.96419, 5.991 
4.53386, 7.815
2.04802, 5.991 
7.48079, 7.815
1.42915, 5.991 
1.65556, 7.815
1.28747, 5.991 
0.598063, 7.815
1.43735, 5.991 
1.9729, 7.815
0.136986, 5.991 
1.7006, 7.815
0.600632, 5.991 
0.847241, 7.815
0.095041, 5.991 
1.6108, 7.815
0.455045, 5.991 
1.61444, 7.815
0.350966, 5.991 
0.789686, 7.815
0.160349, 5.991 
1.49112, 7.815
0.520542, 5.991 
3.8882, 7.815
0.634689, 5.991 
3.63764, 7.815
1.36082, 5.991 
5.08031, 7.815
6.4748, 5.991 
5.28759, 7.815
8.41398, 5.991 
4.93076, 7.815
6.21055, 5.991 
2.50869, 7.815
8.4546, 5.991 
2.36667, 7.815
7.04735, 5.991 
2.13214, 7.815
11.3868, 5.991 
2.1787, 7.815
0.904079, 5.991 
2.39271, 7.815
1.58529, 5.991 
1.59879, 7.815
2.60545, 5.991 
2.18846, 7.815
7.13159, 5.991 
1.66397, 7.815
8.22051, 5.991 
0.776119, 7.815
2.56909, 5.991 
2.78608, 7.815
0.504879, 5.991 
2.79877, 7.815
0.315694, 5.991 
1.72573, 7.815
2.71124, 5.991 
3.06532, 7.815
5.92771, 5.991 
4.1588, 7.815
6.66222, 5.991 
4.60049, 7.815
2.20459, 5.991 
4.15098, 7.815
0.883673, 5.991 
1.03867, 7.815
1.04414, 5.991 
1.90798, 7.815
0.150223, 5.991 
0.043121, 7.815
3.10444, 5.991 
0.488623, 7.815
2.19176, 5.991 
0.413804, 7.815
3.56883, 5.991 
1.90212, 7.815
0.723082, 5.991 
1.20897, 7.815
0.588552, 5.991 
0.803771, 7.815
3.41635, 5.991 
2.17179, 7.815
3.5746, 5.991 
2.54219, 7.815
2.57159, 5.991 
3.70858, 7.815
6.75015, 5.991 
1.59545, 7.815
1.90839, 5.991 
2.90788, 7.815
0.637174, 5.991 
3.44583, 7.815
2.04222, 5.991 
2.75725, 7.815
0.618641, 5.991 
2.25621, 7.815
1.47881, 5.991 
2.89542, 7.815
0.402473, 5.991 
1.46611, 7.815
2.70337, 5.991 
11.1731, 7.815
1.22971, 5.991 
9.73809, 7.815
2.38347, 5.991 
13.1066, 7.815
0.101746, 5.991 
4.87935, 7.815
0.135235, 5.991 
5.10157, 7.815
0.922382, 5.991 
5.69238, 7.815
1.15124, 5.991 
0.262106, 7.815
1.16112, 5.991 
0.365476, 7.815
0.842727, 5.991 
0.511266, 7.815
1.82393, 5.991 
2.57081, 7.815
1.69205, 5.991 
2.38942, 7.815
2.51774, 5.991 
3.05769, 7.815
4.28554, 5.991 
0.114816, 7.815
4.94901, 5.991 
0.111786, 7.815
3.7256, 5.991 
0.384021, 7.815
1.99101, 5.991 
1.05653, 7.815
2.03531, 5.991 
1.66986, 7.815
1.41725, 5.991 
2.07371, 7.815
3.68791, 5.991 
0.755945, 7.815
4.79619, 5.991 
0.932905, 7.815
3.93415, 5.991 
1.4096, 7.815
1.04787, 5.991 
2.74194, 7.815
2.1655, 5.991 
1.77678, 7.815
1.56584, 5.991 
7.77991, 7.815
1.50216, 5.991 
5.89546, 7.815
0.857372, 5.991 
4.67199, 7.815
0.634371, 5.991 
5.69035, 7.815
1.72845, 5.991 
1.94519, 7.815
1.64996, 5.991 
2.4665, 7.815
1.37935, 5.991 
1.22286, 7.815
2.26898, 5.991 
2.09523, 7.815
2.49852, 5.991 
1.57397, 7.815
2.84406, 5.991 
1.05333, 7.815
0.438827, 5.991 
4.526, 7.815
0.426557, 5.991 
5.2491, 7.815
0.0727229, 5.991 
22.8138, 7.815
0.421942, 5.991 
0.354864, 7.815
0.461065, 5.991 
0.53233, 7.815
1.18183, 5.991 
23.445, 7.815
0.690211, 5.991 
4.31696, 7.815
0.358969, 5.991 
3.75271, 7.815
0.549371, 5.991 
13.7475, 7.815
3.2814, 5.991 
2.56999, 7.815
3.06447, 5.991 
1.39644, 7.815
3.27292, 5.991 
1.08279, 7.815
0.0869972, 5.991 
6.17406, 7.815
0.0689411, 5.991 
3.49937, 7.815
0.551696, 5.991 
4.53489, 7.815
0.0904711, 5.991 
